Player,Team,Year,Division,Gender
Turner Allen,DiG,2025,Club,Mens
Jeffrey Babbitt,DiG,2025,Club,Mens
Noah Backer,DiG,2025,Club,Mens
Peter Boerth,DiG,2025,Club,Mens
Reed Browning,DiG,2025,Club,Mens
Orion Cable,DiG,2025,Club,Mens
Simon Carapella,DiG,2025,Club,Mens
Tyler Chan,DiG,2025,Club,Mens
Gabriel Colton,DiG,2025,Club,Mens
Cole Davis-Brand,DiG,2025,Club,Mens
Tobe Decraene,DiG,2025,Club,Mens
Nathaniel Dick,DiG,2025,Club,Mens
Oliver Fay,DiG,2025,Club,Mens
Ethan Fortin,DiG,2025,Club,Mens
Oscar Graff,DiG,2025,Club,Mens
Gustav Haflin,DiG,2025,Club,Mens
Ben Horrisberger,DiG,2025,Club,Mens
Josh Markette,DiG,2025,Club,Mens
Brendan McCann,DiG,2025,Club,Mens
Matthew Rowan McDonnell,DiG,2025,Club,Mens
Cole Moore,DiG,2025,Club,Mens
Ken Noh,DiG,2025,Club,Mens
Solomon Rueschemeyer-Bailey,DiG,2025,Club,Mens
Calvin Stoughton,DiG,2025,Club,Mens
Charles Weinberg,DiG,2025,Club,Mens
Albert Yuan,DiG,2025,Club,Mens
Paul Arters,Chicago Machine,2025,Club,Mens
Malik Auger-Semmar,Chicago Machine,2025,Club,Mens
Johnny Bansfield,Chicago Machine,2025,Club,Mens
Luke Brennan,Chicago Machine,2025,Club,Mens
Jacob Bruner,Chicago Machine,2025,Club,Mens
Daan De Marrée,Chicago Machine,2025,Club,Mens
Jeffrey Gao,Chicago Machine,2025,Club,Mens
Nathan Goff,Chicago Machine,2025,Club,Mens
Henry Goldenberg,Chicago Machine,2025,Club,Mens
Pawel Janas,Chicago Machine,2025,Club,Mens
Walt Jansen,Chicago Machine,2025,Club,Mens
John Lithio,Chicago Machine,2025,Club,Mens
Raymond Lu,Chicago Machine,2025,Club,Mens
Victor Luo,Chicago Machine,2025,Club,Mens
Wilson Matthews,Chicago Machine,2025,Club,Mens
Walden Nelson,Chicago Machine,2025,Club,Mens
Keegan North,Chicago Machine,2025,Club,Mens
Xavier Payne,Chicago Machine,2025,Club,Mens
Benjamin Preiss,Chicago Machine,2025,Club,Mens
Kyle Rutledge,Chicago Machine,2025,Club,Mens
Tim Schoch,Chicago Machine,2025,Club,Mens
Jack Shanahan,Chicago Machine,2025,Club,Mens
Andrew Sjogren,Chicago Machine,2025,Club,Mens
Jake Steslicki,Chicago Machine,2025,Club,Mens
William Wettengel,Chicago Machine,2025,Club,Mens
Joe White,Chicago Machine,2025,Club,Mens
David Bloodgood,Truck Stop,2025,Club,Mens
Elliot Bonnet,Truck Stop,2025,Club,Mens
Christian Boxley,Truck Stop,2025,Club,Mens
David Cranston,Truck Stop,2025,Club,Mens
Jace Dean,Truck Stop,2025,Club,Mens
Moussa Dia,Truck Stop,2025,Club,Mens
Thomas Edmonds,Truck Stop,2025,Club,Mens
Alexandre Fall,Truck Stop,2025,Club,Mens
Frederick Farah,Truck Stop,2025,Club,Mens
Benjamin Greenberg,Truck Stop,2025,Club,Mens
Miles Grovic,Truck Stop,2025,Club,Mens
Kevin Healey,Truck Stop,2025,Club,Mens
Troy Holland,Truck Stop,2025,Club,Mens
Christian Johnson,Truck Stop,2025,Club,Mens
Cole Jurek,Truck Stop,2025,Club,Mens
Isaac Lee,Truck Stop,2025,Club,Mens
Jonny Malks,Truck Stop,2025,Club,Mens
Charles McCutcheon,Truck Stop,2025,Club,Mens
AJ Merriman,Truck Stop,2025,Club,Mens
Tyler Monroe,Truck Stop,2025,Club,Mens
Jacques Nissen,Truck Stop,2025,Club,Mens
Gus Norrbom,Truck Stop,2025,Club,Mens
Luke Rehfuss,Truck Stop,2025,Club,Mens
Andrew Roy,Truck Stop,2025,Club,Mens
Jasper Tom,Truck Stop,2025,Club,Mens
Jeff Wodatch,Truck Stop,2025,Club,Mens
Mathieu Agee,Johnny Bravo,2025,Club,Mens
Atkin Arnstein,Johnny Bravo,2025,Club,Mens
Alex Atkins,Johnny Bravo,2025,Club,Mens
Dennison Bechis,Johnny Bravo,2025,Club,Mens
Tobias Brooks,Johnny Bravo,2025,Club,Mens
Nathan Buchholz,Johnny Bravo,2025,Club,Mens
Jackson Cochran,Johnny Bravo,2025,Club,Mens
Noah Coolman,Johnny Bravo,2025,Club,Mens
Seth Faris,Johnny Bravo,2025,Club,Mens
